orderid,first_x,first_y,last_x,last_y
385960,121.393,31.22,121.428,31.218
1695701,121.538,31.15,121.545,31.145
1581044,121.509,31.289,121.522,31.29
207249,121.422,31.272,121.441,31.261
1109460,121.487,31.269,121.491,31.264
1094764,121.53,31.2,121.538,31.197
226932,121.528,31.175,121.533,31.179
1791159,121.444,31.337,121.488,31.314
356826,121.331,31.264,121.34,31.254
974425,121.406,31.242,121.429,31.242
646152,121.438,31.34,121.45,31.344
71049,121.381,31.134,121.385,31.134
1442384,121.344,31.28,121.353,31.285
79402,121.355,31.352,121.364,31.355
1343902,121.406,31.317,121.411,31.309
212578,121.525,31.281,121.542,31.292
52297,121.308,31.206,121.31,31.205
169937,121.436,31.193,121.45,31.193
1513648,121.47,31.202,121.486,31.21
1541946,121.451,31.18,121.456,31.184
1551958,121.615,31.268,121.626,31.279
1744071,121.464,31.203,121.468,31.201
1757476,121.437,31.269,121.457,31.246
656609,121.417,31.205,121.419,31.203
606666,121.482,31.335,121.485,31.334
1195514,121.49,31.287,121.493,31.292
52568,121.47,31.297,121.49,31.313
327105,121.421,31.195,121.428,31.199
461569,121.446,31.338,121.453,31.335
1340048,121.377,31.261,121.384,31.26
550095,121.497,31.263,121.503,31.26
690926,121.523,31.293,121.536,31.306
1549269,121.517,31.277,121.524,31.264
1005905,121.532,31.296,121.539,31.301
374612,121.476,31.233,121.484,31.237
369765,121.473,31.207,121.476,31.203
116270,121.578,31.278,121.583,31.277
1679029,121.443,31.259,121.45,31.255
1375739,121.517,31.319,121.526,31.329
299849,121.358,31.167,121.366,31.176
1165262,121.531,31.227,121.537,31.235
1729258,121.41,31.272,121.418,31.272
514241,121.535,31.287,121.54,31.291
180057,121.308,31.238,121.32,31.24
1000068,121.362,31.244,121.371,31.251
268736,121.419,31.292,121.448,31.288
987111,121.391,31.14,121.393,31.141
1229738,121.484,31.304,121.491,31.291
1151900,121.464,31.23,121.499,31.221
530997,121.366,31.256,121.382,31.253
796171,121.353,31.242,121.364,31.231
271384,121.521,31.208,121.536,31.212
288119,121.451,31.208,121.461,31.203
118813,121.448,31.296,121.476,31.3
757318,121.371,31.31,121.387,31.32
1430918,121.479,31.269,121.483,31.272
871671,121.353,31.22,121.366,31.213
677489,121.526,31.321,121.531,31.321
1241602,121.428,31.38,121.45,31.364
544918,121.528,31.318,121.537,31.331
1529482,121.503,31.293,121.508,31.297
1261149,121.489,31.254,121.492,31.253
1286394,121.363,31.255,121.386,31.257
1687948,121.392,31.269,121.419,31.253
1329593,121.48,31.268,121.486,31.272
787816,121.41,31.234,121.412,31.232
1000857,121.469,31.197,121.489,31.201
1057211,121.319,31.296,121.323,31.292
1614503,121.311,31.201,121.313,31.203
808407,121.408,31.215,121.411,31.214
1445341,121.318,31.308,121.323,31.3
1537623,121.424,31.326,121.44,31.33
1478187,121.425,31.134,121.432,31.136
84084,121.36,31.235,121.366,31.238
1313675,121.625,31.279,121.628,31.28
580065,121.522,31.282,121.522,31.284
831511,121.472,31.197,121.474,31.195
1217665,121.431,31.334,121.44,31.305
817296,121.528,31.301,121.532,31.311
1443519,121.515,31.298,121.521,31.291
1758757,121.41,31.27,121.421,31.264
1664734,121.463,31.181,121.476,31.191
1202094,121.44,31.154,121.452,31.185
572942,121.402,31.264,121.41,31.268
942436,121.343,31.175,121.367,31.179
656151,121.537,31.288,121.548,31.29
843646,121.407,31.179,121.419,31.175
567730,121.468,31.234,121.472,31.24
942670,121.477,31.236,121.484,31.24
874981,121.463,31.274,121.518,31.274
1297012,121.508,31.311,121.522,31.325
949622,121.479,31.288,121.497,31.285
640956,121.455,31.224,121.506,31.261
1592119,121.364,31.13,121.372,31.129
1156621,121.503,31.29,121.531,31.254
1050607,121.431,31.182,121.447,31.175
1611428,121.425,31.329,121.436,31.32
1233607,121.451,31.293,121.458,31.295
622101,121.422,31.219,121.427,31.223
1160282,121.417,31.208,121.43,31.208
378712,121.389,31.194,121.393,31.197
1382670,121.495,31.272,121.504,31.289
1139422,121.469,31.279,121.478,31.276
1267896,121.532,31.321,121.538,31.321
1517802,121.495,31.214,121.495,31.215
1355454,121.509,31.289,121.522,31.292
190919,121.526,31.319,121.532,31.318
1531178,121.524,31.281,121.534,31.294
819277,121.42,31.234,121.424,31.237
1559323,121.357,31.156,121.364,31.147
1431325,121.395,31.247,121.397,31.257
680109,121.464,31.202,121.47,31.201
1109696,121.367,31.258,121.382,31.251
534308,121.472,31.242,121.479,31.233
62327,121.425,31.144,121.431,31.152
579999,121.464,31.238,121.467,31.24
1341677,121.409,31.108,121.427,31.113
1663388,121.41,31.271,121.414,31.27
1462340,121.486,31.308,121.493,31.312
197473,121.561,31.282,121.562,31.282
490381,121.403,31.167,121.423,31.171
1321742,121.458,31.323,121.463,31.323
1251963,121.369,31.197,121.376,31.19
373841,121.374,31.233,121.381,31.243
299531,121.45,31.305,121.452,31.308
90836,121.438,31.31,121.448,31.307
90019,121.535,31.299,121.544,31.294
1175514,121.532,31.298,121.538,31.318
1666741,121.366,31.165,121.382,31.158
567565,121.434,31.259,121.441,31.256
1078568,121.41,31.27,121.411,31.276
1587987,121.602,31.199,121.63,31.187
1420720,121.452,31.199,121.475,31.206
1197059,121.45,31.193,121.467,31.201
745588,121.444,31.236,121.45,31.234
910984,121.44,31.193,121.445,31.201
1141013,121.429,31.233,121.448,31.23
953194,121.369,31.208,121.385,31.215
504792,121.354,31.288,121.355,31.303
38591,121.435,31.265,121.439,31.278
513320,121.43,31.255,121.436,31.258
1351800,121.423,31.264,121.439,31.277
701923,121.445,31.335,121.45,31.34
301630,121.448,31.325,121.465,31.34
1036320,121.417,31.212,121.438,31.216
1327226,121.363,31.253,121.368,31.251
1118139,121.374,31.313,121.407,31.299
429757,121.534,31.286,121.542,31.276
129337,121.488,31.296,121.498,31.294
1001675,121.507,31.281,121.511,31.281
1623861,121.515,31.269,121.521,31.275
190012,121.439,31.324,121.446,31.321
1304594,121.403,31.133,121.414,31.13
466597,121.354,31.279,121.356,31.28
524064,121.401,31.294,121.416,31.294
398548,121.339,31.31,121.351,31.315
1000954,121.485,31.301,121.487,31.299
137422,121.354,31.181,121.368,31.187
962596,121.489,31.292,121.49,31.292
1304919,121.517,31.261,121.521,31.262
981665,121.402,31.128,121.407,31.121
1240222,121.395,31.205,121.408,31.204
1529316,121.523,31.309,121.53,31.318
1297253,121.42,31.144,121.427,31.137
755714,121.403,31.27,121.411,31.273
1538207,121.54,31.266,121.555,31.283
172299,121.44,31.29,121.451,31.279
595778,121.417,31.291,121.422,31.284
545467,121.379,31.107,121.383,31.11
1087721,121.389,31.319,121.424,31.293
1767456,121.53,31.328,121.532,31.328
880750,121.435,31.323,121.446,31.32
236931,121.389,31.168,121.394,31.165
1711281,121.303,31.305,121.318,31.294
103778,121.443,31.27,121.455,31.271
638958,121.497,31.147,121.502,31.151
282071,121.45,31.292,121.467,31.296
1342731,121.457,31.279,121.483,31.274
756302,121.435,31.322,121.444,31.321
1731975,121.383,31.146,121.392,31.14
729383,121.506,31.301,121.512,31.302
1129426,121.48,31.273,121.495,31.279
1281089,121.65,31.264,121.656,31.267
746821,121.402,31.266,121.402,31.272
1249901,121.382,31.246,121.387,31.26
1601986,121.454,31.159,121.459,31.162
1710069,121.453,31.19,121.461,31.198
1394096,121.387,31.249,121.39,31.25
574952,121.395,31.213,121.409,31.196
1775417,121.416,31.206,121.427,31.189
1552865,121.547,31.277,121.549,31.277
318019,121.459,31.313,121.461,31.327
977965,121.409,31.242,121.423,31.251
432580,121.506,31.315,121.508,31.316
785578,121.447,31.317,121.449,31.315
610211,121.392,31.242,121.398,31.239
383626,121.411,31.222,121.416,31.218
847924,121.536,31.269,121.543,31.268
396,121.416,31.238,121.426,31.236
845013,121.554,31.274,121.558,31.272
697638,121.494,31.185,121.523,31.224
628090,121.454,31.29,121.458,31.295
98902,121.49,31.252,121.496,31.251
1347487,121.486,31.236,121.526,31.252
366574,121.431,31.272,121.455,31.253
1428446,121.442,31.313,121.448,31.316
1222797,121.443,31.216,121.446,31.223
910336,121.446,31.227,121.451,31.219
310024,121.445,31.228,121.45,31.226
1267257,121.533,31.268,121.537,31.264
1751937,121.405,31.242,121.417,31.238
414732,121.363,31.254,121.365,31.256
21474,121.437,31.304,121.447,31.305
512479,121.452,31.119,121.457,31.121
1420342,121.324,31.235,121.393,31.239
102236,121.498,31.274,121.5,31.275
273624,121.342,31.252,121.344,31.252
1622076,121.435,31.328,121.453,31.346
988685,121.431,31.236,121.439,31.242
43925,121.408,31.222,121.413,31.231
181138,121.448,31.232,121.454,31.228
1377563,121.379,31.233,121.385,31.237
315767,121.467,31.286,121.489,31.26
659335,121.36,31.247,121.363,31.252
1002859,121.431,31.208,121.443,31.207
1042123,121.386,31.145,121.392,31.14
1735203,121.349,31.17,121.353,31.165
887302,121.409,31.358,121.411,31.357
314649,121.533,31.268,121.536,31.265
1580540,121.518,31.276,121.531,31.26
29259,121.532,31.321,121.538,31.321
1099976,121.491,31.293,121.498,31.294
1644150,121.389,31.178,121.404,31.214
1367039,121.447,31.298,121.449,31.295
969912,121.47,31.287,121.48,31.275
889571,121.506,31.201,121.52,31.207
103761,121.418,31.207,121.43,31.204
1272618,121.34,31.167,121.351,31.176
1076922,121.528,31.274,121.537,31.263
1253782,121.497,31.329,121.529,31.324
1574547,121.386,31.254,121.386,31.257
1587467,121.469,31.324,121.483,31.32
1612193,121.516,31.297,121.53,31.283
574102,121.489,31.264,121.512,31.258
982130,121.536,31.314,121.545,31.312
327487,121.467,31.21,121.475,31.212
1485115,121.39,31.269,121.396,31.274
68548,121.437,31.279,121.471,31.245
1680172,121.39,31.268,121.396,31.274
1330729,121.445,31.322,121.459,31.265
907003,121.421,31.242,121.431,31.248
77756,121.406,31.276,121.422,31.274
977144,121.513,31.332,121.516,31.336
1699110,121.399,31.244,121.435,31.239
1670805,121.395,31.231,121.428,31.226
532042,121.504,31.308,121.507,31.308
1740892,121.476,31.178,121.485,31.181
547307,121.421,31.155,121.439,31.164
807153,121.383,31.147,121.384,31.146
1546763,121.345,31.165,121.415,31.197
203419,121.453,31.279,121.458,31.278
1057109,121.292,31.21,121.293,31.21
155794,121.382,31.122,121.4,31.129
1185935,121.297,31.204,121.307,31.212
168039,121.512,31.258,121.526,31.267
187197,121.426,31.348,121.431,31.353
970090,121.417,31.23,121.422,31.232
1613499,121.438,31.305,121.451,31.31
311624,121.413,31.217,121.424,31.211
1558321,121.48,31.258,121.485,31.256
756577,121.361,31.135,121.364,31.132
478147,121.465,31.306,121.471,31.306
1235840,121.429,31.222,121.446,31.239
50011,121.547,31.266,121.553,31.279
1608385,121.432,31.271,121.477,31.214
647958,121.525,31.324,121.526,31.324
304835,121.532,31.208,121.54,31.207
496839,121.513,31.229,121.516,31.23
605494,121.482,31.335,121.491,31.31
1287576,121.492,31.184,121.5,31.182
6830,121.519,31.318,121.525,31.314
1221868,121.532,31.313,121.543,31.321
1632243,121.418,31.271,121.422,31.276
1241467,121.413,31.235,121.423,31.237
1202346,121.448,31.296,121.462,31.303
373750,121.381,31.318,121.381,31.319
173203,121.407,31.317,121.408,31.317
996634,121.438,31.214,121.444,31.207
210655,121.505,31.26,121.516,31.263
1268203,121.476,31.328,121.49,31.331
1602364,121.473,31.338,121.479,31.338
1714991,121.427,31.265,121.435,31.267
869925,121.53,31.318,121.541,31.324
1381271,121.326,31.269,121.33,31.262
719042,121.531,31.311,121.54,31.307
1360490,121.382,31.236,121.385,31.241
696961,121.387,31.299,121.388,31.3
1228735,121.38,31.232,121.402,31.232
1365303,121.416,31.293,121.43,31.297
84031,121.396,31.17,121.412,31.18
1161178,121.469,31.218,121.475,31.222
978636,121.416,31.174,121.427,31.165
699951,121.456,31.212,121.458,31.209
457273,121.466,31.216,121.47,31.21
639032,121.364,31.258,121.367,31.258
1333295,121.477,31.183,121.516,31.21
1596377,121.458,31.259,121.465,31.262
1700075,121.43,31.254,121.433,31.249
780695,121.518,31.302,121.52,31.297
510278,121.435,31.274,121.443,31.269
953586,121.442,31.221,121.453,31.228
488244,121.496,31.174,121.502,31.18
483555,121.49,31.306,121.514,31.307
1000410,121.398,31.217,121.431,31.201
753924,121.361,31.358,121.373,31.361
1461337,121.44,31.211,121.452,31.217
568392,121.487,31.227,121.494,31.224
381134,121.311,31.302,121.322,31.298
237486,121.467,31.319,121.472,31.32
783526,121.505,31.303,121.509,31.304
616354,121.39,31.269,121.411,31.281
1146655,121.482,31.243,121.485,31.249
631410,121.46,31.187,121.465,31.201
408842,121.456,31.27,121.459,31.268
699362,121.481,31.258,121.486,31.263
1674124,121.425,31.212,121.431,31.199
1013595,121.473,31.242,121.487,31.24
1200295,121.474,31.308,121.49,31.307
364861,121.458,31.313,121.465,31.306
1588634,121.405,31.273,121.412,31.271
1768561,121.532,31.324,121.54,31.311
550663,121.458,31.298,121.477,31.289
372542,121.369,31.255,121.396,31.244
90290,121.434,31.234,121.441,31.24
641500,121.384,31.241,121.396,31.274
571523,121.416,31.218,121.427,31.224
348182,121.479,31.271,121.48,31.273
1007482,121.307,31.296,121.319,31.288
580992,121.481,31.198,121.483,31.202
253716,121.529,31.309,121.532,31.309
1192595,121.405,31.161,121.41,31.148
388396,121.453,31.221,121.46,31.226
488286,121.42,31.127,121.435,31.133
383538,121.407,31.227,121.411,31.23
1114440,121.438,31.189,121.445,31.19
555,121.404,31.239,121.409,31.233
1389394,121.418,31.137,121.426,31.134
343946,121.474,31.294,121.512,31.298
