orderid,dist
1226681,.095090181
1331937,.095121434
1103829,.095123449
1577572,.095135539
352799,.095141582
665034,.095145610
346971,.095149638
600815,.095153666
694994,.095153666
260421,.095155679
1039641,.095157693
1624098,.095160712
389141,.095162726
611135,.095163732
387927,.095163732
1698211,.095164739
298737,.095164739
829474,.095164739
1313901,.095167758
848225,.095168764
1292908,.095169771
366391,.095169771
1253901,.095170777
1691404,.095172789
1029917,.095172789
1229992,.095173796
4296,.095173796
439452,.095174802
70818,.095175808
1042724,.095175808
1209919,.095175808
1561186,.095175808
1800142,.095175808
666313,.095175808
1802326,.095176814
1110567,.095178826
1697830,.095179832
1256831,.095179832
361853,.095179832
801161,.095179832
152039,.095180838
801861,.095180838
1045309,.095181844
748662,.095181844
1492443,.095182850
32923,.095182850
874808,.095182850
1105867,.095183856
1573346,.095183856
158895,.095183856
1589451,.095183856
338284,.095183856
535882,.095183856
604405,.095183856
615691,.095183856
1353612,.095183856
696892,.095183856
1562719,.095184862
1704780,.095184862
502953,.095184862
611510,.095185868
1124571,.095185868
811313,.095185868
1046697,.095187880
1171920,.095187880
854626,.095187880
1239201,.095188885
1192138,.095189891
1059858,.095189891
346275,.095189891
1054527,.095192908
796416,.095192908
1710893,.095192908
228648,.095192908
405368,.095192908
419198,.095192908
48507,.095192908
311102,.095193914
1409141,.095193914
463883,.095193914
530865,.095193914
145779,.095194919
54174,.095194919
870327,.095194919
993432,.095194919
1185772,.095194919
1792324,.095194919
1054905,.095195925
1251594,.095195925
13414,.095195925
1434597,.095195925
1633221,.095195925
1637010,.095195925
35305,.095195925
634986,.095196931
707877,.095196931
859608,.095196931
1102577,.095196931
1164742,.095196931
1304455,.095196931
1602067,.095196931
421206,.095196931
698030,.095196931
108080,.095198942
1228067,.095198942
537100,.095198942
1387405,.095199947
1427151,.095199947
1463598,.095199947
1539096,.095199947
858643,.095199947
965943,.095199947
292739,.095200953
526807,.095200953
568283,.095200953
650919,.095200953
392745,.095201958
1565287,.095201958
1613412,.095201958
1676401,.095201958
398873,.095201958
629673,.095202963
1519152,.095202963
1642329,.095202963
1749533,.095202963
541288,.095202963
1356133,.095203969
1716879,.095203969
348303,.095203969
1522515,.095204974
559685,.095204974
1735837,.095204974
811816,.095204974
995049,.095204974
1513653,.095205979
1146538,.095205979
1460817,.095205979
284912,.095206985
804747,.095206985
1135374,.095206985
1543101,.095206985
1279765,.095210000
1255318,.095210000
471629,.095210000
1145958,.095211005
270519,.095211005
1092044,.095212010
372390,.095212010
550072,.095212010
1789010,.095213016
897857,.095213016
1797590,.095214021
1290942,.095214021
1419609,.095214021
1460096,.095214021
1761933,.095214021
631725,.095214021
850937,.095214021
278335,.095215026
1167242,.095215026
1329702,.095215026
1488810,.095215026
1720959,.095215026
795724,.095215026
227376,.095216031
1298915,.095216031
1675697,.095216031
655218,.095216031
1366878,.095217036
960936,.095217036
1797065,.095217036
1436592,.095218041
1321625,.095218041
315733,.095219045
916949,.095219045
294141,.095220050
39484,.095220050
611101,.095220050
762684,.095220050
964548,.095220050
747102,.095221055
1541442,.095221055
162524,.095221055
1663438,.095221055
218826,.095221055
384664,.095222060
1176036,.095222060
1344333,.095222060
1653285,.095222060
45729,.095222060
970556,.095222060
1748598,.095223065
801655,.095223065
80659,.095224070
102465,.095224070
1247664,.095225074
1373200,.095225074
1295539,.095225074
409879,.095225074
713184,.095227084
1517544,.095228088
280099,.095228088
1335728,.095228088
1571270,.095228088
1332704,.095229093
1039310,.095229093
321824,.095229093
384775,.095229093
601655,.095229093
777871,.095229093
1421139,.095230098
1543981,.095230098
859994,.095230098
415856,.095231102
1749577,.095231102
590494,.095231102
1543429,.095232107
810070,.095232107
96659,.095232107
713544,.095232107
1225920,.095233111
1320471,.095233111
1586271,.095233111
1699209,.095233111
312382,.095233111
751436,.095233111
1074886,.095234116
1488549,.095234116
221137,.095234116
438921,.095235120
614586,.095235120
112361,.095236125
1543840,.095236125
1045973,.095236125
1051503,.095236125
559856,.095236125
597791,.095236125
72352,.095236125
1576014,.095237129
908730,.095237129
1027070,.095237129
1187096,.095237129
607886,.095237129
913242,.095237129
862467,.095238133
1523381,.095239138
193589,.095239138
308055,.095239138
74949,.095239138
1040540,.095240142
409844,.095240142
1172799,.095240142
1314589,.095240142
621654,.095240142
74823,.095240142
93082,.095240142
1477851,.095241146
1739782,.095241146
739516,.095241146
1269840,.095242150
440843,.095242150
1068984,.095242150
200868,.095242150
985041,.095242150
163394,.095243155
517976,.095243155
951479,.095243155
988961,.095244159
1018045,.095244159
680647,.095244159
1499938,.095245163
228598,.095245163
1037737,.095245163
1080054,.095245163
1407280,.095245163
303277,.095245163
680318,.095245163
789265,.095245163
1458139,.095246167
1236975,.095246167
166153,.095247171
326667,.095247171
1127877,.095247171
1652266,.095247171
888943,.095248175
109111,.095248175
1579990,.095248175
761662,.095248175
893518,.095248175
910922,.095248175
1543759,.095249179
1638091,.095249179
763626,.095249179
346039,.095250183
1364995,.095250183
1595197,.095250183
1623521,.095250183
578426,.095250183
917229,.095250183
729564,.095251187
1144753,.095251187
20711,.095252191
779078,.095252191
1200684,.095253195
1352823,.095253195
429540,.095253195
1187159,.095253195
1380488,.095254199
1788458,.095254199
206738,.095254199
1391628,.095255203
1311926,.095255203
345859,.095255203
43429,.095255203
1045658,.095257211
1552493,.095257211
1554885,.095258214
630117,.095258214
243792,.095258215
1110912,.095259218
1326956,.095259218
641886,.095259218
1027962,.095260222
1688710,.095260222
1229854,.095260222
55854,.095260222
44189,.095261226
1336627,.095261226
632539,.095261226
424516,.095262229
1480929,.095263233
1492352,.095263233
1241289,.095263233
1432375,.095263233
798637,.095263233
1228117,.095264237
298053,.095264237
914013,.095264237
1469076,.095265240
305124,.095265240
829579,.095265240
1634746,.095265240
340922,.095265240
689406,.095265240
827780,.095265240
1441830,.095266244
372095,.095266244
747581,.095266244
411847,.095266244
1269170,.095267247
168769,.095267247
338393,.095267247
486882,.095268251
1041883,.095269254
563842,.095269254
803497,.095269254
1245846,.095269254
1547330,.095269254
665551,.095269254
875776,.095269254
1031154,.095270258
805187,.095270258
1295790,.095271261
1744931,.095271261
334943,.095271261
696586,.095271261
1028724,.095272264
820507,.095272264
1131478,.095272264
365584,.095272264
444508,.095272264
1789646,.095273268
930272,.095273268
1021127,.095273268
1065637,.095273268
1272185,.095273268
661364,.095273268
660175,.095274271
728164,.095274271
1675204,.095274271
956334,.095275274
976170,.095275274
972354,.095276278
623526,.095276278
1193566,.095277281
373998,.095277281
1639483,.095278284
322257,.095278284
409391,.095278284
1122537,.095279287
76213,.095279287
1319506,.095280290
1286957,.095281293
1034012,.095281293
1465618,.095282297
694506,.095283300
1520033,.095283300
751709,.095283300
1372376,.095284303
382851,.095284303
160934,.095285306
591608,.095285306
695887,.095285306
1324679,.095286309
1364194,.095286309
1760005,.095286309
1402744,.095287312
1476832,.095287312
398427,.095287312
221663,.095287312
779397,.095287312
982443,.095287312
1400900,.095289317
1329455,.095289317
904940,.095290320
38999,.095290320
623395,.095290320
193325,.095291323
636470,.095291323
71663,.095291323
325732,.095292326
612851,.095292326
1651997,.095293329
624746,.095293329
362949,.095293329
369166,.095293329
1332995,.095294331
610166,.095294331
1057109,.095294331
1618949,.095294331
1624077,.095294331
316418,.095294331
498503,.095294331
821090,.095294331
930382,.095294331
114599,.095295334
636491,.095295334
700490,.095295334
854989,.095295334
926599,.095295334
253424,.095296337
914772,.095296337
536247,.095297339
860281,.095297339
1048277,.095297339
1304561,.095298342
1710682,.095298342
980078,.095299345
4943,.095300347
1305515,.095300347
620571,.095301350
421327,.095301350
823240,.095301350
668336,.095302352
138782,.095303355
1714825,.095303355
187604,.095303355
244284,.095303355
255422,.095304357
1413755,.095304357
487921,.095304357
1740823,.095305360
23852,.095305360
452294,.095305360
973669,.095305360
1189706,.095306362
845441,.095306362
1273198,.095306362
670578,.095307364
1943,.095308367
1548077,.095308367
286966,.095309369
973037,.095310371
996526,.095310371
1738903,.095310371
121967,.095311373
1581645,.095312376
1101161,.095312376
178843,.095312376
399825,.095312376
737489,.095314380
1005592,.095316384
182959,.095317386
1152169,.095318388
437307,.095319390
1106348,.095319390
407292,.095319390
1197426,.095320392
930608,.095320392
1102948,.095321394
461599,.095321394
1153749,.095324400
881048,.095324400
283864,.095325402
139688,.095326404
1172185,.095327405
1637865,.095327405
1650045,.095328407
621552,.095328407
204605,.095328407
584463,.095329409
970416,.095331412
645942,.095332414
1354621,.095333415
1143991,.095334417
231160,.095334417
528060,.095334417
685116,.095334417
673238,.095334417
442283,.095335419
5266,.095336420
1018805,.095336420
80856,.095336420
775542,.095337422
375638,.095338423
1101429,.095341427
1765648,.095342429
546612,.095342429
517613,.095343430
706079,.095343430
580121,.095344431
1441051,.095345432
1746679,.095345432
954457,.095346434
128127,.095346434
835816,.095346434
1525967,.095348436
1573338,.095348436
90581,.095348436
619497,.095348436
1285430,.095350438
350856,.095350438
1442795,.095351439
1102366,.095352440
1590079,.095352440
1766448,.095355443
418869,.095355443
61961,.095358446
250258,.095361449
745793,.095361449
733545,.095361449
1240811,.095362449
427078,.095362449
6373,.095362449
1504737,.095365451
1418844,.095366452
123522,.095366452
1295009,.095366452
1714175,.095366452
171725,.095366452
1379084,.095367453
815270,.095368453
1732960,.095369454
220452,.095369454
1429452,.095370454
1071559,.095373456
654580,.095373456
529030,.095374456
649899,.095374456
781672,.095374456
1742946,.095380458
379097,.095380458
1458465,.095386459
154319,.095394458
1330271,.095396458
581682,.095400457
1181803,.095417447
1467887,.095436425
270085,.095466370
1013039,.095469363
887294,.095478340
1049792,.095498282
238919,.095499279
1504734,.095589864
784771,.095596822
624433,.110869920
1791923,.110870023
731323,.110870711
582682,.110870866
70865,.110871228
1428220,.110871279
1331876,.110871314
1493401,.110871314
1239661,.110871331
1021461,.110871520
1699504,.110871520
1647889,.110871538
22225,.110871607
1642882,.110871624
1628930,.110871641
1064312,.110871658
548761,.110871727
1798680,.110871779
304312,.110871796
198993,.110871813
976179,.110871813
187173,.110871831
1733432,.110871865
1009856,.110871882
223631,.110871917
664663,.110871986
896672,.110872037
1120550,.110872055
1167337,.110872055
1020870,.110872072
1371385,.110872072
361607,.110872072
304356,.110872089
115333,.110872123
621728,.110872123
701282,.110872123
694853,.110872141
858646,.110872141
426087,.110872158
537228,.110872158
633038,.110872158
1121273,.110872175
377830,.110872244
1096836,.110872279
1130390,.110872279
269814,.110872279
846127,.110872279
222886,.110872296
305425,.110872313
445277,.110872330
773355,.110872330
1163443,.110872348
171754,.110872348
196944,.110872348
1580067,.110872365
1692118,.110872365
567323,.110872382
1442942,.110872399
234461,.110872399
594107,.110872399
962114,.110872417
1378893,.110872434
345937,.110872451
859468,.110872451
1711194,.110872468
552035,.110872486
1760559,.110872520
358456,.110872520
1471393,.110872572
1585310,.110872572
192319,.110872572
329459,.110872589
780259,.110872589
1706889,.110872641
89669,.110872641
1537670,.110872658
1298665,.110872675
268214,.110872675
234213,.110872692
203353,.110872710
1392139,.110872744
14578,.110872744
223676,.110872744
543467,.110872744
1266995,.110872779
574635,.110872779
1084979,.110872796
215770,.110872813
625084,.110872813
1029444,.110872848
1788765,.110872848
651364,.110872848
323127,.110872865
751395,.110872882
1357772,.110872899
1416558,.110872899
1613896,.110872899
1131603,.110872917
289,.110872917
166937,.110872951
1715203,.110872951
388080,.110872951
723750,.110872951
493501,.110872968
761040,.110872968
1287256,.110872986
1495487,.110872986
1573879,.110873020
329996,.110873020
1235859,.110873055
319142,.110873055
965653,.110873055
138011,.110873072
1415265,.110873072
1477921,.110873072
1651306,.110873072
460567,.110873072
1558762,.110873106
1639749,.110873106
773381,.110873106
785519,.110873106
1285405,.110873124
1782668,.110873124
665130,.110873124
1003962,.110873158
1517802,.110873158
1395050,.110873176
1541461,.110873176
1165959,.110873193
1321828,.110873193
1459662,.110873193
319116,.110873193
637798,.110873193
965191,.110873210
1752680,.110873227
403746,.110873262
755400,.110873262
913360,.110873262
1453593,.110873279
735830,.110873279
839152,.110873279
516544,.110873296
658005,.110873296
945441,.110873296
1384798,.110873314
1433034,.110873314
236900,.110873314
463141,.110873314
679539,.110873314
954479,.110873314
995673,.110873314
1792020,.110873331
824979,.110873331
898089,.110873331
1403011,.110873348
143867,.110873348
1086076,.110873365
157692,.110873365
1756435,.110873365
670938,.110873365
1154722,.110873383
1688717,.110873383
1780207,.110873383
666323,.110873383
747209,.110873383
1329879,.110873400
1423153,.110873400
508700,.110873400
589605,.110873400
630547,.110873400
234181,.110873417
330310,.110873434
385771,.110873434
1123666,.110873452
147969,.110873452
572717,.110873452
1669944,.110873469
271920,.110873469
369500,.110873469
39897,.110873469
477606,.110873469
1665452,.110873486
292748,.110873486
1203785,.110873503
1618607,.110873503
1131364,.110873521
1319653,.110873521
1403715,.110873521
1592932,.110873521
345491,.110873521
1793419,.110873538
385402,.110873555
1458049,.110873572
1498671,.110873572
1590288,.110873572
428732,.110873572
432823,.110873572
116939,.110873607
1257539,.110873607
1534693,.110873607
1786552,.110873624
640369,.110873624
941994,.110873624
195205,.110873642
1510137,.110873659
1720405,.110873659
1230010,.110873676
1664589,.110873676
577432,.110873676
597877,.110873676
1180478,.110873693
1492567,.110873693
389739,.110873711
525944,.110873711
276378,.110873728
934010,.110873728
1101985,.110873745
1168110,.110873745
261013,.110873745
488304,.110873762
568260,.110873762
670826,.110873762
674401,.110873762
1451418,.110873780
195474,.110873780
671735,.110873780
610070,.110873797
1147651,.110873814
1452374,.110873814
1106165,.110873849
1201218,.110873866
1675315,.110873866
426462,.110873866
